Timestamp,Air_Temp_C,Relative_Humidity_Percent,Dew_Point_C,Pressure_hPa,Wind_Speed_m_s,Cloud_Cover_Percent,Shortwave_Radiation_W_m2,Solar_Zenith_Deg,Liljegren_Wet_Bulb_C,Liljegren_Globe_C,Liljegren_WBGT_C,ABM_WBGT_C,Model_Discrepancy_C,ACSM_Risk_Category,Recommended_Action
2026-08-24 18:00:00,27.9,91,26.29,1004,1.91,93,44.0,137.59,29.32,57.3,34.78,33.2,-1.58,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-24 21:00:00,28.08,76,23.45,1003,1.73,93,0.0,129.46,24.58,27.18,25.45,31.2,5.75,Moderate Risk,Normal Activity (Monitor fluid intake & rest cycles)
2026-08-25 00:00:00,27.26,65,22.76,1002,1.45,93,0.0,95.93,23.88,26.27,24.7,30.27,5.58,Moderate Risk,Normal Activity (Monitor fluid intake & rest cycles)
2026-08-25 03:00:00,31.29,55,22.22,1003,1.36,82,0.0,56.88,24.58,30.17,26.37,32.21,5.84,High Risk,Normal Activity (Frequent water breaks required)
2026-08-25 06:00:00,28.6,39,21.33,1003,1.24,54,5.0,21.16,23.28,27.47,24.65,30.13,5.48,Moderate Risk,Normal Activity (Monitor fluid intake & rest cycles)
2026-08-25 09:00:00,34.16,32,19.67,1000,4.49,11,436.0,34.05,23.91,36.04,27.36,32.31,4.95,High Risk,Normal Activity (Frequent water breaks required)
2026-08-25 12:00:00,34.28,36,20.63,999,4.52,9,692.0,72.84,25.55,48.42,31.0,32.93,1.93,Extreme Risk,Limit intense exercise and total heat exposure
2026-08-25 15:00:00,31.45,48,22.55,1000,3.47,8,447.0,110.84,40.27,230.09,77.35,32.51,-44.84,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-25 18:00:00,30.31,52,22.65,1001,2.65,5,54.0,137.94,27.55,61.91,34.7,31.93,-2.77,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-25 21:00:00,30.17,59,23.45,1001,2.93,2,0.0,129.7,25.11,29.41,26.48,32.39,5.91,High Risk,Normal Activity (Frequent water breaks required)
2026-08-26 00:00:00,29,62,23.54,1001,2.34,2,0.0,96.05,24.88,28.19,25.95,31.79,5.83,High Risk,Normal Activity (Frequent water breaks required)
2026-08-26 03:00:00,33.29,49,21.98,1002,1.94,10,0.0,56.97,24.92,32.27,27.23,33.19,5.96,High Risk,Normal Activity (Frequent water breaks required)
2026-08-26 06:00:00,30.5,31,19.43,1001,1.74,42,9.0,21.41,22.58,29.39,24.74,30.1,5.36,Moderate Risk,Normal Activity (Monitor fluid intake & rest cycles)
2026-08-26 09:00:00,41,28,19.13,998,3.07,51,445.0,34.31,25.41,43.12,30.51,35.89,5.38,Extreme Risk,Limit intense exercise and total heat exposure
2026-08-26 12:00:00,38.63,36,21.36,998,4.39,35,637.0,73.06,26.93,51.77,33.07,35.83,2.76,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-26 15:00:00,36.19,45,22.66,999,3.35,5,567.0,111.1,43.86,274.35,89.19,35.27,-53.92,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-26 18:00:00,34.02,55,23.91,999,3.43,52,79.0,138.3,29.76,75.55,39.34,34.89,-4.45,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-26 21:00:00,32.87,58,23.63,999,3.05,72,0.0,129.93,25.89,32.1,27.83,34.04,6.21,High Risk,Normal Activity (Frequent water breaks required)
2026-08-27 00:00:00,32.71,51,21.34,999,1.67,66,0.0,96.16,24.36,31.6,26.64,32.46,5.82,High Risk,Normal Activity (Frequent water breaks required)
2026-08-27 03:00:00,35.08,35,18.13,1001,5.01,76,0.0,57.07,23.02,34.2,26.46,32.0,5.54,High Risk,Normal Activity (Frequent water breaks required)
2026-08-27 06:00:00,35.66,36,18.52,1001,4.23,80,9.0,21.67,23.4,34.77,26.9,32.53,5.63,High Risk,Normal Activity (Frequent water breaks required)
2026-08-27 09:00:00,38.44,32,19.06,999,2.4,91,386.0,34.57,24.74,40.19,29.2,34.4,5.2,Very High Risk,Discretion in planning intense/prolonged exercise
2026-08-27 12:00:00,38.31,37,21.24,998,3.87,48,745.0,73.28,27.09,54.75,33.75,35.58,1.83,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-27 15:00:00,33.36,59,24.17,1000,6.32,17,459.0,111.37,37.83,204.16,70.65,34.7,-35.95,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-27 18:00:00,30.35,71,24.48,1002,4.59,58,59.0,138.66,28.12,58.38,34.4,33.22,-1.18,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-27 21:00:00,29.52,71,23.73,1001,3.75,98,0.0,130.17,25.14,28.85,26.32,32.21,5.89,High Risk,Normal Activity (Frequent water breaks required)
2026-08-28 00:00:00,29.57,69,23.43,1001,1.85,99,0.0,96.28,24.95,28.67,26.15,32.03,5.88,High Risk,Normal Activity (Frequent water breaks required)
2026-08-28 03:00:00,32.17,54,21.98,1003,1.05,99,0.0,57.17,24.66,30.91,26.66,32.55,5.89,High Risk,Normal Activity (Frequent water breaks required)
2026-08-28 06:00:00,37,34,19.07,1002,1.58,100,8.0,21.93,24.14,35.7,27.74,33.59,5.85,High Risk,Normal Activity (Frequent water breaks required)
2026-08-28 09:00:00,39.57,29,18.63,999,2.16,100,513.0,34.84,24.97,42.83,30.0,34.81,4.81,Very High Risk,Discretion in planning intense/prolonged exercise
2026-08-28 12:00:00,38.82,34,20.18,998,2.62,100,677.0,73.51,26.87,56.21,33.93,35.24,1.31,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-28 15:00:00,35.15,48,22.89,1000,3.56,100,513.0,111.64,42.22,253.35,83.74,34.83,-48.9,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-28 18:00:00,34.06,51,22.48,1001,2.79,92,62.0,139.02,28.58,69.31,37.28,33.95,-3.33,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-28 21:00:00,33.17,52,22.16,1000,1.99,90,0.0,130.41,25.0,32.17,27.25,33.24,5.98,High Risk,Normal Activity (Frequent water breaks required)
2026-08-29 00:00:00,33.11,42,18.62,1001,3.54,93,0.0,96.4,22.78,32.14,25.69,31.14,5.45,Moderate Risk,Normal Activity (Monitor fluid intake & rest cycles)
2026-08-29 03:00:00,33.58,42,19.23,1003,4.38,96,0.0,57.27,23.27,32.71,26.19,31.73,5.55,High Risk,Normal Activity (Frequent water breaks required)
2026-08-29 06:00:00,37.47,34,19.09,1002,4.29,100,7.0,22.19,24.2,36.58,28.0,33.86,5.86,Very High Risk,Discretion in planning intense/prolonged exercise
2026-08-29 09:00:00,39.48,29,18.51,999,4.3,100,501.0,35.11,24.66,41.86,29.59,34.69,5.11,Very High Risk,Discretion in planning intense/prolonged exercise
2026-08-29 12:00:00,39.65,26,17.51,998,5.05,92,810.0,73.74,25.33,55.92,32.88,34.28,1.4,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
2026-08-29 15:00:00,37.58,31,17.8,999,3.64,85,578.0,111.92,42.31,273.94,88.17,33.25,-54.91,Hazardous,CANCEL ALL EXERCISE (Uncompensable Heat Stress)
